#{"t_start": 1671014251.9923966, "env_id": "CartPole-v0"}
r,l,t
200.0,200,55.967483
200.0,200,56.076861
200.0,200,57.571867
200.0,200,57.698621
200.0,200,57.808501
200.0,200,57.92324
200.0,200,58.058739
200.0,200,58.16821
200.0,200,58.262374
200.0,200,58.409478
200.0,200,58.54093
200.0,200,58.645074
200.0,200,60.034242
200.0,200,60.193078
200.0,200,60.3222
200.0,200,60.421783
200.0,200,60.532705
200.0,200,60.642136
200.0,200,60.761714
200.0,200,60.89037
200.0,200,61.000068
200.0,200,61.10949
200.0,200,62.632163
200.0,200,62.790515
200.0,200,62.907166
200.0,200,63.017534
200.0,200,63.127527
200.0,200,63.221325
200.0,200,63.364877
200.0,200,63.489924
200.0,200,63.599306
200.0,200,63.70874
200.0,200,65.01046
200.0,200,65.119807
200.0,200,65.245482
200.0,200,65.356541
200.0,200,65.497983
200.0,200,65.608495
200.0,200,65.717837
200.0,200,65.827481
200.0,200,65.922783
200.0,200,66.044637
200.0,200,66.15596
200.0,200,67.590603
200.0,200,67.718872
200.0,200,67.829386
200.0,200,67.938307
200.0,200,68.056884
200.0,200,68.178112
200.0,200,68.290681
200.0,200,68.456306
200.0,200,68.572173
200.0,200,68.676965
200.0,200,70.096977
200.0,200,70.215167
200.0,200,70.325822
200.0,200,70.439541
200.0,200,70.549612
200.0,200,70.658988
200.0,200,70.773593
200.0,200,70.883972
200.0,200,71.00104
200.0,200,71.128722
200.0,200,72.631959
200.0,200,72.772931
200.0,200,72.892143
200.0,200,73.001418
200.0,200,73.095869
200.0,200,73.205242
200.0,200,73.334436
200.0,200,73.485646
200.0,200,73.595895
200.0,200,73.706121
200.0,200,75.664663
200.0,200,75.855807
200.0,200,76.182494
200.0,200,76.340827
200.0,200,76.490264
200.0,200,76.676089
200.0,200,76.907861
200.0,200,77.257598
200.0,200,77.534971
200.0,200,77.875468
200.0,200,78.013709
200.0,200,80.248998
200.0,200,80.556571
200.0,200,80.789061
200.0,200,81.055217
200.0,200,81.298155
200.0,200,81.470305
200.0,200,81.636767
200.0,200,81.795015
200.0,200,81.972277
200.0,200,82.324738
200.0,200,84.304088
200.0,200,84.611814
200.0,200,84.758522
200.0,200,84.907178
200.0,200,85.058201
200.0,200,85.198979
200.0,200,85.343465
200.0,200,85.498708
200.0,200,85.661699
200.0,200,85.801859
200.0,200,87.90731
200.0,200,88.082339
200.0,200,88.296982
200.0,200,88.551475
200.0,200,88.764456
200.0,200,88.927606
200.0,200,89.085502
200.0,200,89.233621
200.0,200,89.394996
200.0,200,89.541519
200.0,200,91.528904
200.0,200,91.716997
200.0,200,91.907307
200.0,200,92.114876
200.0,200,92.369125
200.0,200,92.529664
200.0,200,92.684102
200.0,200,92.985188
200.0,200,93.168856
200.0,200,93.407169
200.0,200,93.626805
200.0,200,94.984855
200.0,200,95.11009
200.0,200,95.252873
200.0,200,95.362249
200.0,200,95.485954
200.0,200,95.595332
200.0,200,95.708398
200.0,200,95.819387
200.0,200,95.922764
200.0,200,96.032928
200.0,200,97.579222
200.0,200,97.755802
200.0,200,97.860523
200.0,200,97.970599
200.0,200,98.080822
200.0,200,98.191639
200.0,200,98.303321
200.0,200,98.470588
200.0,200,98.580245
200.0,200,98.690904
200.0,200,100.138111
200.0,200,100.311388
200.0,200,100.423242
200.0,200,100.538354
200.0,200,100.647952
200.0,200,100.760293
200.0,200,100.890702
200.0,200,100.994846
200.0,200,101.106449
200.0,200,101.216627
200.0,200,102.694745
200.0,200,102.85835
200.0,200,102.970114
200.0,200,103.113718
200.0,200,103.238827
200.0,200,103.370289
200.0,200,103.51995
200.0,200,103.639246
200.0,200,103.742905
200.0,200,103.853271
200.0,200,105.299316
200.0,200,105.441202
200.0,200,105.552598
200.0,200,105.698403
200.0,200,105.858861
200.0,200,105.970058
200.0,200,106.098814
200.0,200,106.209436
200.0,200,106.330936
200.0,200,106.439225
200.0,200,106.564275
200.0,200,108.082036
200.0,200,108.20866
200.0,200,108.373135
200.0,200,108.51525
200.0,200,108.624633
200.0,200,108.735054
200.0,200,108.845586
200.0,200,108.95935
200.0,200,109.068801
200.0,200,109.178152
200.0,200,110.572404
200.0,200,110.729354
200.0,200,110.825089
200.0,200,110.962802
200.0,200,111.081826
200.0,200,111.177364
200.0,200,111.289548
200.0,200,111.407429
200.0,200,111.516858
200.0,200,111.640307
200.0,200,113.187346
200.0,200,113.314306
200.0,200,113.490132
200.0,200,113.615118
200.0,200,113.743873
200.0,200,113.854723
200.0,200,113.954507
200.0,200,114.095779
200.0,200,114.233251
200.0,200,114.338957
200.0,200,115.693401
200.0,200,115.815155
200.0,200,115.940044
200.0,200,116.081416
200.0,200,116.208735
200.0,200,116.304694
200.0,200,116.424098
200.0,200,116.608418
200.0,200,116.72018
200.0,200,116.854605
200.0,200,116.967244
200.0,200,118.776822
200.0,200,118.906188
200.0,200,119.044077
200.0,200,119.153533
200.0,200,119.262906
200.0,200,119.359286
200.0,200,119.471352
200.0,200,119.590777
200.0,200,119.685052
200.0,200,119.794438
200.0,200,121.147747
200.0,200,121.307665
200.0,200,121.437966
200.0,200,121.577662
200.0,200,121.693776
200.0,200,121.805146
200.0,200,121.907351
200.0,200,122.039815
200.0,200,122.202883
200.0,200,122.342897
200.0,200,123.782888
200.0,200,123.908067
200.0,200,124.019362
200.0,200,124.132044
200.0,200,124.241491
200.0,200,124.376049
200.0,200,124.490074
200.0,200,124.587291
200.0,200,124.696969
200.0,200,124.815675
200.0,200,126.128552
200.0,200,126.257164
200.0,200,126.369346
200.0,200,126.487994
200.0,200,126.600463
200.0,200,126.710512
200.0,200,126.819886
200.0,200,126.932236
200.0,200,127.091503
200.0,200,127.241722
200.0,200,127.365181
200.0,200,128.923287
200.0,200,129.036875
200.0,200,129.139873
200.0,200,129.249246
200.0,200,129.358624
200.0,200,129.455561
200.0,200,129.607864
200.0,200,129.720672
200.0,200,129.830096
200.0,200,129.93969
200.0,200,131.324467
200.0,200,131.453255
200.0,200,131.578323
200.0,200,131.699664
200.0,200,131.804041
200.0,200,131.907461
200.0,200,132.028585
200.0,200,132.188341
200.0,200,132.335341
200.0,200,132.438725
200.0,200,133.92296
200.0,200,134.033032
200.0,200,134.159829
200.0,200,134.26927
200.0,200,134.392081
200.0,200,134.503404
200.0,200,134.613517
200.0,200,134.738826
200.0,200,134.874096
200.0,200,134.969958
200.0,200,136.306494
200.0,200,136.437745
200.0,200,136.587947
200.0,200,136.697337
200.0,200,136.806637
200.0,200,136.922029
200.0,200,137.084371
200.0,200,137.286342
200.0,200,137.391108
200.0,200,137.501173
200.0,200,137.61551
200.0,200,139.091772
200.0,200,139.220161
200.0,200,139.345111
200.0,200,139.470286
200.0,200,139.57964
200.0,200,139.691173
200.0,200,139.793857
200.0,200,139.907474
200.0,200,140.016913
200.0,200,140.11251
200.0,200,141.422421
200.0,200,141.548156
200.0,200,141.657583
200.0,200,141.777907
200.0,200,141.891136
200.0,200,142.04207
200.0,200,142.241047
200.0,200,142.382943
200.0,200,142.487698
200.0,200,142.597071
200.0,200,144.232896
200.0,200,144.370056
200.0,200,144.480094
200.0,200,144.641673
200.0,200,144.768068
200.0,200,144.902681
200.0,200,145.073363
200.0,200,145.201984
200.0,200,145.32698
200.0,200,145.491754
200.0,200,147.013493
200.0,200,147.259169
200.0,200,147.423198
200.0,200,147.532602
200.0,200,147.675484
200.0,200,147.785889
200.0,200,147.945124
200.0,200,148.120013
200.0,200,148.224329
200.0,200,148.367336
200.0,200,148.507749
200.0,200,149.986228
200.0,200,150.096281
200.0,200,150.223378
200.0,200,150.338635
200.0,200,150.438983
200.0,200,150.548589
200.0,200,150.658543
200.0,200,150.768838
200.0,200,150.880912
200.0,200,150.985177
200.0,200,152.423218
200.0,200,152.579666
200.0,200,152.690116
200.0,200,152.815117
200.0,200,152.943334
200.0,200,153.053609
200.0,200,153.147665
200.0,200,153.258958
200.0,200,153.403281
200.0,200,153.525019
200.0,200,154.976864
200.0,200,155.124108
200.0,200,155.221831
200.0,200,155.362704
200.0,200,155.470259
200.0,200,155.575488
200.0,200,155.687129
200.0,200,155.796494
200.0,200,155.907547
200.0,200,156.016978
200.0,200,157.517346
200.0,200,157.677234
200.0,200,157.80408
200.0,200,157.923586
200.0,200,158.032971
200.0,200,158.14311
200.0,200,158.249173
200.0,200,158.39269
200.0,200,158.52408
200.0,200,158.633545
200.0,200,158.743903
200.0,200,160.22209
200.0,200,160.386115
200.0,200,160.48735
200.0,200,160.612835
200.0,200,160.753833
200.0,200,160.87225
200.0,200,160.984904
200.0,200,161.093848
200.0,200,161.205148
200.0,200,161.333103
200.0,200,162.816434
200.0,200,162.955401
200.0,200,163.10049
200.0,200,163.209813
200.0,200,163.304684
200.0,200,163.458365
200.0,200,163.576447
200.0,200,163.685825
200.0,200,163.795203
200.0,200,163.900163
200.0,200,165.319665
200.0,200,165.470109
200.0,200,165.595089
200.0,200,165.72275
200.0,200,165.83213
200.0,200,165.939116
200.0,200,166.04849
200.0,200,166.159457
200.0,200,166.289736
200.0,200,166.407175
200.0,200,167.922447
200.0,200,168.048748
200.0,200,168.143621
200.0,200,168.285602
200.0,200,168.462878
200.0,200,168.572309
200.0,200,168.681685
200.0,200,168.79319
200.0,200,168.907662
200.0,200,169.019532
200.0,200,170.348789
200.0,200,170.530942
200.0,200,170.656029
200.0,200,170.796715
200.0,200,170.90774
200.0,200,171.014053
200.0,200,171.108217
200.0,200,171.219647
200.0,200,171.32898
200.0,200,171.441175
200.0,200,171.553869
200.0,200,173.152363
200.0,200,173.262361
200.0,200,173.481908
200.0,200,173.624543
200.0,200,173.733919
200.0,200,173.843579
200.0,200,173.972405
200.0,200,174.066154
200.0,200,174.178033
200.0,200,174.287409
200.0,200,175.684283
200.0,200,175.803714
200.0,200,175.923766
200.0,200,176.017678
200.0,200,176.127368
200.0,200,176.240799
200.0,200,176.344224
200.0,200,176.456274
200.0,200,176.567047
200.0,200,176.676467
200.0,200,178.160141
200.0,200,178.285776
200.0,200,178.515226
200.0,200,178.624734
200.0,200,178.738494
200.0,200,178.870104
200.0,200,179.001997
200.0,200,179.111399
200.0,200,179.220814
200.0,200,179.347521
200.0,200,181.407969
200.0,200,181.573186
200.0,200,181.729586
200.0,200,181.900105
200.0,200,182.086738
200.0,200,182.266774
200.0,200,182.396191
200.0,200,182.555052
200.0,200,182.693815
200.0,200,182.819144
200.0,200,182.986418
200.0,200,184.619667
200.0,200,184.75612
200.0,200,184.924618
200.0,200,185.049608
200.0,200,185.234351
200.0,200,185.385176
200.0,200,185.567284
200.0,200,185.718456
200.0,200,185.843967
200.0,200,185.970435
200.0,200,187.754596
200.0,200,187.899853
200.0,200,188.020672
200.0,200,188.146523
200.0,200,188.319313
200.0,200,188.576489
200.0,200,188.701439
200.0,200,188.827198
200.0,200,188.961913
200.0,200,189.136472
200.0,200,190.722004
200.0,200,190.877383
200.0,200,191.005464
200.0,200,191.204907
200.0,200,191.340698
200.0,200,191.602489
200.0,200,191.751063
200.0,200,191.95565
200.0,200,192.245633
200.0,200,192.442169
200.0,200,194.160191
200.0,200,194.328313
200.0,200,194.455478
200.0,200,194.585112
200.0,200,194.708039
200.0,200,194.834136
200.0,200,194.966061
200.0,200,195.075449
200.0,200,195.185595
200.0,200,195.303797
200.0,200,195.455925
200.0,200,197.027933
200.0,200,197.320953
200.0,200,197.490417
200.0,200,197.600727
200.0,200,197.744434
200.0,200,197.89148
200.0,200,198.054376
200.0,200,198.194608
200.0,200,198.379049
200.0,200,198.532119
200.0,200,200.504697
200.0,200,200.658234
200.0,200,200.768904
200.0,200,200.890325
200.0,200,201.023818
200.0,200,201.14709
200.0,200,201.258435
200.0,200,201.39257
200.0,200,201.501796
200.0,200,201.627551
200.0,200,203.832147
200.0,200,204.07751
200.0,200,204.32091
200.0,200,204.488011
200.0,200,204.641597
200.0,200,204.757952
200.0,200,204.90749
200.0,200,205.026447
200.0,200,205.241251
200.0,200,205.495481
200.0,200,207.309667
200.0,200,207.464955
200.0,200,207.57703
101.0,101,207.633398
177.0,177,207.732403
200.0,200,207.86036
200.0,200,207.974663
98.0,98,208.038622
200.0,200,208.15195
200.0,200,208.256045
200.0,200,208.394785
79.0,79,208.466475
146.0,146,208.551914
176.0,176,210.057056
38.0,38,210.074344
200.0,200,210.207497
200.0,200,210.367105
200.0,200,210.735137
200.0,200,211.01804
200.0,200,211.305016
200.0,200,211.635433
200.0,200,211.920298
200.0,200,212.315559
